model,prompt_type,tool_success_rate,difficulty,task_type,timestamp,total,success,partial,failed,success_rate,partial_rate,failure_rate,weighted_success_score,full_success_rate,partial_success_rate,avg_execution_time,avg_turns,avg_tool_calls,tool_coverage_rate,avg_workflow_score,avg_phase2_score,avg_quality_score,avg_final_score,total_errors,tool_call_format_errors,timeout_errors,dependency_errors,parameter_config_errors,tool_selection_errors,sequence_order_errors,max_turns_errors,other_errors,tool_selection_error_rate,parameter_error_rate,sequence_error_rate,dependency_error_rate,timeout_error_rate,format_error_rate,max_turns_error_rate,other_error_rate,assisted_failure,assisted_success,total_assisted_turns,tests_with_assistance,avg_assisted_turns,assisted_success_rate,assistance_rate,full_success,partial_success
qwen2.5-14b-instruct,optimal,0.7,easy,aggregated,2025-08-31T00:45:00.000000,246,24,9,222,0.0975609756097561,0.0365853658536585,0.902439024390244,0.0013414634146341458,0.0975609756097561,0.036585365853658534,19.93755262973763,10.0,2.0,0.8,0.0,0.0,0.0,0.0,65,7,0,5,0,50,5,0,-2,0.2032520325203252,0.0,0.02032520325203252,0.02032520325203252,0.0,0.028455284552845527,0.0,-0.008130081300813009,0,0,0,0,0.0,0.0,0.0,24,9
qwen2.5-14b-instruct,optimal,0.6,easy,aggregated,2025-08-31T00:45:00.000000,240,18,7,222,0.075,0.0291666666666666,0.925,0.001041666666666666,0.075,0.029166666666666667,18.341541120427017,10.0,2.0,0.8,0.0,0.0,0.0,0.0,62,7,0,5,0,47,5,0,-2,0.19583333333333333,0.0,0.020833333333333332,0.020833333333333332,0.0,0.029166666666666667,0.0,-0.008333333333333333,0,0,0,0,0.0,0.0,0.0,18,7
DeepSeek-V3-0324,optimal,0.9,easy,aggregated,2025-08-31T00:45:00.000000,396,396,58,0,1.0,0.1464646464646464,0.0,0.011464646464646464,1.0,0.14646464646464646,19.739791573481405,10.0,2.0,0.8,0.0,0.0,0.0,0.0,15,3,0,2,0,8,2,0,0,0.020202020202020204,0.0,0.005050505050505051,0.005050505050505051,0.0,0.007575757575757576,0.0,0.0,0,0,0,0,0.0,0.0,0.0,396,58
DeepSeek-V3-0324,optimal,0.8,easy,aggregated,2025-08-31T00:45:00.000000,370,364,82,6,0.9837837837837838,0.2216216216216216,0.0162162162162162,0.012054054054054053,0.9837837837837838,0.22162162162162163,12.01228415947059,10.0,2.0,0.8,0.0,0.0,0.0,0.0,20,2,0,1,0,15,1,0,1,0.04054054054054054,0.0,0.002702702702702703,0.002702702702702703,0.0,0.005405405405405406,0.0,0.002702702702702703,0,0,0,0,0.0,0.0,0.0,364,82
DeepSeek-V3-0324,optimal,0.7,easy,aggregated,2025-08-31T00:45:00.000000,396,396,121,0,1.0,0.3055555555555556,0.0,0.013055555555555556,1.0,0.3055555555555556,15.6410966545873,10.0,2.0,0.8,0.0,0.0,0.0,0.0,29,4,0,2,0,21,2,0,0,0.05303030303030303,0.0,0.005050505050505051,0.005050505050505051,0.0,0.010101010101010102,0.0,0.0,0,0,0,0,0.0,0.0,0.0,396,121
DeepSeek-V3-0324,optimal,0.6,easy,aggregated,2025-08-31T00:45:00.000000,396,380,144,16,0.9595959595959596,0.3636363636363636,0.0404040404040404,0.01323232323232323,0.9595959595959596,0.36363636363636365,11.239277829799368,10.0,2.0,0.8,0.0,0.0,0.0,0.0,37,8,1,5,0,20,5,0,-2,0.050505050505050504,0.0,0.012626262626262626,0.012626262626262626,0.0025252525252525255,0.020202020202020204,0.0,-0.005050505050505051,0,0,0,0,0.0,0.0,0.0,380,144
qwen2.5-32b-instruct,optimal,0.9,easy,aggregated,2025-08-31T00:45:00.000000,198,4,2,194,0.0202020202020202,0.0101010101010101,0.9797979797979798,0.00030303030303030303,0.020202020202020204,0.010101010101010102,13.217001389072186,10.0,2.0,0.8,0.0,0.0,0.0,0.0,53,3,0,2,0,46,2,0,0,0.23232323232323232,0.0,0.010101010101010102,0.010101010101010102,0.0,0.015151515151515152,0.0,0.0,0,0,0,0,0.0,0.0,0.0,4,2
qwen2.5-32b-instruct,optimal,0.8,easy,aggregated,2025-08-31T00:45:00.000000,198,0,0,198,0.0,0.0,1.0,0.0,0.0,0.0,12.061760268970772,10.0,2.0,0.8,0.0,0.0,0.0,0.0,46,5,0,3,0,36,3,0,-1,0.18181818181818182,0.0,0.015151515151515152,0.015151515151515152,0.0,0.025252525252525252,0.0,-0.005050505050505051,0,0,0,0,0.0,0.0,0.0,0,0
qwen2.5-32b-instruct,optimal,0.7,easy,aggregated,2025-08-31T00:45:00.000000,198,6,3,192,0.0303030303030303,0.0151515151515151,0.9696969696969696,0.000454545454545454,0.030303030303030304,0.015151515151515152,12.991921449501945,10.0,2.0,0.8,0.0,0.0,0.0,0.0,45,5,0,3,0,34,3,0,0,0.1717171717171717,0.0,0.015151515151515152,0.015151515151515152,0.0,0.025252525252525252,0.0,0.0,0,0,0,0,0.0,0.0,0.0,6,3
qwen2.5-32b-instruct,optimal,0.6,easy,aggregated,2025-08-31T00:45:00.000000,198,0,0,198,0.0,0.0,1.0,0.0,0.0,0.0,13.593936945002564,10.0,2.0,0.8,0.0,0.0,0.0,0.0,52,7,0,4,0,38,4,0,-1,0.1919191919191919,0.0,0.020202020202020204,0.020202020202020204,0.0,0.03535353535353535,0.0,-0.005050505050505051,0,0,0,0,0.0,0.0,0.0,0,0
Llama-3.3-70B-Instruct,optimal,0.9,easy,aggregated,2025-08-31T00:45:00.000000,396,388,69,8,0.9797979797979798,0.1742424242424242,0.0202020202020202,0.01154040404040404,0.9797979797979798,0.17424242424242425,107.77031343634056,10.0,2.0,0.8,0.0,0.0,0.0,0.0,22,2,1,1,0,17,1,0,0,0.04292929292929293,0.0,0.0025252525252525255,0.0025252525252525255,0.0025252525252525255,0.005050505050505051,0.0,0.0,0,0,0,0,0.0,0.0,0.0,388,69
Llama-3.3-70B-Instruct,optimal,0.8,easy,aggregated,2025-08-31T00:45:00.000000,396,384,138,12,0.9696969696969696,0.3484848484848485,0.0303030303030303,0.013181818181818178,0.9696969696969697,0.3484848484848485,114.46824754675065,10.0,2.0,0.8,0.0,0.0,0.0,0.0,38,5,3,3,0,24,3,0,0,0.06060606060606061,0.0,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.012626262626262626,0.0,0.0,0,0,0,0,0.0,0.0,0.0,384,138
Llama-3.3-70B-Instruct,optimal,0.7,easy,aggregated,2025-08-31T00:45:00.000000,396,360,132,36,0.9090909090909092,0.3333333333333333,0.0909090909090909,0.012424242424242424,0.9090909090909091,0.3333333333333333,113.90224811393378,10.0,2.0,0.8,0.0,0.0,0.0,0.0,37,4,0,3,0,28,3,0,-1,0.0707070707070707,0.0,0.007575757575757576,0.007575757575757576,0.0,0.010101010101010102,0.0,-0.0025252525252525255,0,0,0,0,0.0,0.0,0.0,360,132
Llama-3.3-70B-Instruct,optimal,0.6,easy,aggregated,2025-08-31T00:45:00.000000,396,372,156,24,0.9393939393939394,0.3939393939393939,0.0606060606060606,0.013333333333333332,0.9393939393939394,0.3939393939393939,124.0179382708878,10.0,2.0,0.8,0.0,0.0,0.0,0.0,42,9,0,6,0,23,6,0,-2,0.05808080808080808,0.0,0.015151515151515152,0.015151515151515152,0.0,0.022727272727272728,0.0,-0.005050505050505051,0,0,0,0,0.0,0.0,0.0,372,156
qwen2.5-3b-instruct,optimal,0.9,easy,aggregated,2025-08-31T00:45:00.000000,138,20,10,118,0.144927536231884,0.072463768115942,0.855072463768116,0.00217391304347826,0.14492753623188406,0.07246376811594203,29.878925887452873,10.0,2.0,0.8,0.0,0.0,0.0,0.0,23,3,0,2,0,16,2,0,0,0.11594202898550725,0.0,0.014492753623188406,0.014492753623188406,0.0,0.021739130434782608,0.0,0.0,0,0,0,0,0.0,0.0,0.0,20,10
qwen2.5-3b-instruct,optimal,0.8,easy,aggregated,2025-08-31T00:45:00.000000,138,12,6,126,0.0869565217391304,0.0434782608695652,0.9130434782608696,0.001304347826086956,0.08695652173913043,0.043478260869565216,30.722939818991563,10.0,2.0,0.8,0.0,0.0,0.0,0.0,26,4,0,2,0,18,2,0,0,0.13043478260869565,0.0,0.014492753623188406,0.014492753623188406,0.0,0.028985507246376812,0.0,0.0,0,0,0,0,0.0,0.0,0.0,12,6
qwen2.5-3b-instruct,optimal,0.7,easy,aggregated,2025-08-31T00:45:00.000000,240,8,4,232,0.0333333333333333,0.0166666666666666,0.9666666666666668,0.0005,0.03333333333333333,0.016666666666666666,32.48335236909655,10.0,2.0,0.8,0.0,0.0,0.0,0.0,61,6,0,4,0,48,4,0,-1,0.2,0.0,0.016666666666666666,0.016666666666666666,0.0,0.025,0.0,-0.004166666666666667,0,0,0,0,0.0,0.0,0.0,8,4
qwen2.5-3b-instruct,optimal,0.6,easy,aggregated,2025-08-31T00:45:00.000000,138,12,6,126,0.0869565217391304,0.0434782608695652,0.9130434782608696,0.001304347826086956,0.08695652173913043,0.043478260869565216,30.74548779707149,10.0,2.0,0.8,0.0,0.0,0.0,0.0,25,3,0,2,0,19,2,0,-1,0.13768115942028986,0.0,0.014492753623188406,0.014492753623188406,0.0,0.021739130434782608,0.0,-0.007246376811594203,0,0,0,0,0.0,0.0,0.0,12,6
DeepSeek-R1-0528,optimal,0.9,easy,aggregated,2025-08-31T00:45:00.000000,396,392,108,4,0.98989898989899,0.2727272727272727,0.0101010101010101,0.012626262626262623,0.98989898989899,0.2727272727272727,145.01664109580986,10.0,2.0,0.8,0.0,0.0,0.0,0.0,25,5,0,3,0,15,3,0,-1,0.03787878787878788,0.0,0.007575757575757576,0.007575757575757576,0.0,0.012626262626262626,0.0,-0.0025252525252525255,0,0,0,0,0.0,0.0,0.0,392,108
DeepSeek-R1-0528,optimal,0.8,easy,aggregated,2025-08-31T00:45:00.000000,396,392,102,4,0.98989898989899,0.2575757575757575,0.0101010101010101,0.012474747474747474,0.98989898989899,0.25757575757575757,130.53469823213817,10.0,2.0,0.8,0.0,0.0,0.0,0.0,23,3,0,2,0,17,2,0,-1,0.04292929292929293,0.0,0.005050505050505051,0.005050505050505051,0.0,0.007575757575757576,0.0,-0.0025252525252525255,0,0,0,0,0.0,0.0,0.0,392,102
DeepSeek-R1-0528,optimal,0.7,easy,aggregated,2025-08-31T00:45:00.000000,396,386,136,10,0.9747474747474748,0.3434343434343434,0.0252525252525252,0.013181818181818178,0.9747474747474747,0.3434343434343434,126.24988761156992,10.0,2.0,0.8,0.0,0.0,0.0,0.0,42,8,2,5,0,23,5,0,-1,0.05808080808080808,0.0,0.012626262626262626,0.012626262626262626,0.005050505050505051,0.020202020202020204,0.0,-0.0025252525252525255,0,0,0,0,0.0,0.0,0.0,386,136
DeepSeek-R1-0528,optimal,0.6,easy,aggregated,2025-08-31T00:45:00.000000,396,376,162,20,0.9494949494949496,0.4090909090909091,0.0505050505050505,0.013585858585858585,0.9494949494949495,0.4090909090909091,120.9960342309598,10.0,2.0,0.8,0.0,0.0,0.0,0.0,62,9,0,6,0,43,6,0,-2,0.10858585858585859,0.0,0.015151515151515152,0.015151515151515152,0.0,0.022727272727272728,0.0,-0.005050505050505051,0,0,0,0,0.0,0.0,0.0,376,162
